150 45
0 1 199.28923
0 2 125.11203
0 3 184.71594
0 4 180.40761
0 5 191.73045
0 6 186.74770
0 7 135.76208
0 8 157.09964
0 9 170.37491
0 10 162.89542
0 11 115.92369
0 12 183.74593
0 13 135.00787
0 14 177.36281
0 15 177.36545
0 16 174.76587
0 17 142.25761
0 18 144.78137
0 19 160.36028
0 20 171.27110
0 21 163.39110
0 22 176.49356
0 23 152.26132
0 24 153.91502
0 25 153.57344
0 26 161.67104
0 27 154.69496
0 28 170.04680
0 29 153.01682
0 30 155.74149
0 31 115.18707
0 32 141.60602
0 33 206.49077
0 34 165.95395
0 35 165.48477
0 36 187.21031
0 37 181.99059
0 38 196.92096
0 39 130.69412
0 40 187.48639
0 41 197.57924
0 42 185.73282
0 43 175.56021
0 44 160.71703
0 45 170.56364
0 46 161.40474
0 47 162.12311
0 48 172.05679
0 49 166.12854
0 50 154.25066
0 51 169.27591
0 52 148.74690
0 53 164.21982
0 54 170.00606
0 55 197.22513
0 56 192.17200
0 57 145.87663
0 58 176.92769
0 59 199.80740
0 60 149.17754
0 61 135.74638
0 62 183.44284
0 63 161.99612
0 64 200.43294
0 65 175.09911
0 66 142.41365
0 67 171.59221
0 68 160.10660
0 69 162.09590
0 70 150.78186
0 71 157.43129
0 72 175.35669
0 73 139.23906
0 74 146.03505
0 75 136.13576
0 76 144.62241
0 77 175.43272
0 78 161.68896
0 79 178.92072
0 80 158.70589
0 81 174.33971
0 82 165.59949
0 83 177.80818
0 84 153.59201
0 85 175.67403
0 86 163.57652
0 87 195.29294
0 88 180.50334
0 89 167.34578
0 90 145.15909
0 91 160.08955
0 92 153.38445
0 93 201.33177
0 94 171.05865
0 95 170.46483
0 96 166.31015
0 97 181.83705
0 98 180.17628
0 99 171.32254
0 100 196.97946
0 101 145.36604
0 102 170.10320
0 103 197.28687
0 104 193.79318
0 105 181.95291
0 106 164.48964
0 107 165.31026
0 108 158.86153
0 109 172.42014
0 110 199.94740
0 111 197.91801
0 112 200.53439
0 113 140.87459
0 114 189.29753
0 115 167.84155
0 116 153.93765
0 117 167.95782
0 118 196.22958
0 119 140.25175
0 120 158.23589
0 121 139.35835
0 122 178.82578
0 123 123.95219
0 124 142.55406
0 125 169.26566
0 126 154.48482
0 127 189.17274
0 128 155.15305
0 129 185.38803
0 130 193.29027
0 131 135.85869
0 132 147.34760
0 133 182.90349
0 134 195.15044
0 135 164.89363
0 136 193.03876
0 137 175.80681
0 138 211.54674
0 139 179.97301
0 140 182.69569
0 141 204.00723
0 142 211.91737
0 143 153.35086
0 144 188.47656
0 145 186.82813
0 146 159.08635
0 147 161.02104
0 148 171.07324
0 149 150.08881
1 2 178.82555
1 3 184.05687
1 4 171.42143
1 5 212.89175
1 6 211.72876
1 7 216.18301
1 8 226.23596
1 9 172.98795
1 10 213.84885
1 11 179.65652
1 12 135.66776
1 13 205.81247
1 14 208.95845
1 15 215.56715
1 16 218.93793
1 17 233.23424
1 18 186.31989
1 19 196.66882
1 20 211.15671
1 21 172.80397
1 22 166.19025
1 23 194.26956
1 24 223.70406
1 25 222.36017
1 26 122.05501
1 27 214.17813
1 28 169.68326
1 29 221.65120
1 30 195.67180
1 31 213.57426
1 32 219.01482
1 33 170.29794
1 34 187.09445
1 35 202.05461
1 36 200.24452
1 37 227.42201
1 38 220.11320
1 39 174.17117
1 40 214.67023
1 41 227.55379
1 42 191.53252
1 43 226.98102
1 44 186.49400
1 45 177.56015
1 46 196.13965
1 47 206.34178
1 48 160.86943
1 49 228.56422
1 50 224.72156
1 51 201.99185
1 52 184.25766
1 53 228.25139
1 54 177.08556
1 55 193.36166
1 56 257.12091
1 57 186.31302
1 58 205.71478
1 59 178.32870
1 60 180.58304
1 61 188.28510
1 62 153.66708
1 63 164.39029
1 64 145.01900
1 65 226.03090
1 66 209.43826
1 67 158.32379
1 68 198.45137
1 69 175.64400
1 70 170.38612
1 71 195.80820
1 72 187.64960
1 73 156.71088
1 74 231.92033
1 75 203.99449
1 76 216.69020
1 77 151.18372
1 78 212.57870
1 79 167.81314
1 80 181.61226
1 81 217.04008
1 82 153.82452
1 83 165.28439
1 84 236.82181
1 85 172.54779
1 86 184.94882
1 87 174.71901
1 88 162.98901
1 89 223.35571
1 90 207.26610
1 91 175.88087
1 92 227.00052
1 93 165.02525
1 94 184.19627
1 95 206.24861
1 96 189.29756
1 97 263.99557
1 98 225.06114
1 99 165.23907
1 100 215.60629
1 101 161.92241
1 102 176.74889
1 103 233.68669
1 104 199.67462
1 105 180.05328
1 106 206.93422
1 107 202.60864
1 108 181.05019
1 109 219.12241
1 110 211.12723
1 111 194.22453
1 112 177.18782
1 113 176.88667
1 114 215.58568
1 115 209.39883
1 116 212.07066
1 117 194.26010
1 118 171.80005
1 119 230.79642
1 120 210.27905
1 121 170.56203
1 122 203.80013
1 123 224.58382
1 124 198.08377
1 125 147.29263
1 126 191.04088
1 127 164.84543
1 128 201.82793
1 129 189.41797
1 130 198.31259
1 131 215.92598
1 132 222.70915
1 133 156.04204
1 134 158.47736
1 135 127.99016
1 136 214.06686
1 137 204.82062
1 138 181.89801
1 139 188.09039
1 140 198.94182
1 141 229.89024
1 142 155.17758
1 143 218.75204
1 144 202.88751
1 145 221.39783
1 146 208.55850
1 147 238.82193
1 148 189.33217
1 149 196.25845
2 3 160.12390
2 4 193.32828
2 5 196.40152
2 6 180.84811
2 7 135.81386
2 8 173.20795
2 9 192.54083
2 10 160.12506
2 11 148.23073
2 12 177.87135
2 13 161.98291
2 14 154.24176
2 15 165.89021
2 16 136.12143
2 17 163.94270
2 18 164.00212
2 19 176.79999
2 20 193.80379
2 21 136.41335
2 22 176.76424
2 23 152.20900
2 24 152.48790
2 25 172.94316
2 26 168.70566
2 27 164.31181
2 28 179.01939
2 29 134.11072
2 30 198.53008
2 31 140.63417
2 32 181.08994
2 33 165.23854
2 34 169.47089
2 35 199.90620
2 36 213.06427
2 37 206.36034
2 38 199.63887
2 39 169.15845
2 40 182.38780
2 41 207.76630
2 42 173.91011
2 43 171.77704
2 44 165.03227
2 45 170.19183
2 46 190.80437
2 47 186.49031
2 48 159.65341
2 49 193.73956
